time_sec,VehicleSpeed_mph,EngineSpeed_rpm,EngineTorque,AccelPedalPos,BrakePedalPos,TurnSignal,Latitude_deg,Longitude_deg,Altitude,Distance,SteerAngle,TransmissionGear,SPaT_signal,SPaT_dist
40,28.65818421,1667.690652,149.9247627,21.960792,0,0,40.58151549,-105.0808366,150679.4991,284.9148993,2.745959194,6,3,149.9095444
41,30.24376701,1689.027813,107.2669627,16.078437,0,0,40.58151626,-105.0809873,150644.8312,297.648893,4,6,3,137.1755507
42,30.6666048,1823.932795,63.07926795,12.941181,0,0,40.58151669,-105.0811426,150700.251,310.7594628,3.875,6,3,124.0649809
43,30.65085481,1754.867772,6.658897586,0,0,0,40.58151725,-105.0813022,150753.0231,324.2429964,5.3125,6,3,110.5814474
44,30.12865747,1688.074981,-16,0,0,0,40.58151781,-105.0814616,150737.1996,337.6974108,4.934847639,6,3,97.12703292
45,28.95107925,1612.916392,-22.5,0,12.549024,0,40.58151806,-105.0816171,150682.9225,350.8374807,3.8125,6,3,83.98696305
46,27.2945908,1502.496545,-10.5,13.22223292,0,0,40.58151806,-105.0817669,150649.5112,363.484495,8.628045535,6,1,71.33994877
47,27.46376224,1650.638745,99.15800971,16.078437,0,0,40.58151744,-105.0819106,150652.15,375.6190566,2.5,6,1,59.20538716
48,28.14332744,1682.803777,105,19.60785,0,0,40.58151649,-105.0820527,150679.5403,387.6233765,0.632935764,6,1,47.2010672
49,29.25268219,1729.471099,137.3456504,0,0,0,40.581519,-105.0822002,150736.3463,400.0826615,5.366738593,6,1,34.74178225
50,29.27943343,1636.025302,10.59174144,0,0,0,40.58152169,-105.0823526,150702.7921,412.9561126,3.121210763,6,1,21.86833112
51,28.85151005,1611.581163,-0.5,5.965636264,0,0,40.58152256,-105.0825052,150595.4667,425.8484391,3.379036997,6,1,8.976004614
52,29.39599849,1711.27903,91,16.078437,0,0,40.58152352,-105.0826569,150556.267,438.6564682,9.302210366,6,3,130.5983875
53,30.27135575,1737.89039,138,18.823536,0,0,40.58152389,-105.0828098,150659.8758,451.5707409,4.192486728,6,3,117.6841148
54,31.31391164,1772.25,125.5,18.823536,0,0,40.58152374,-105.0829671,150790.9196,464.8539205,3.0625,6,3,104.4009352
55,31.87581246,1836.724558,74.22391515,14.901966,0,0,40.58152346,-105.0831296,150830,478.5825888,1.5625,6,3,90.67226692
56,32.35012769,1942.043936,84.11019629,16.77632251,0,0,40.58152364,-105.0832957,150828.9071,492.602592,5.369922999,6,3,76.65226371
57,32.81235956,2016.857598,82.7307546,16.862751,0,0,40.58152389,-105.0834635,150801.3345,506.7781089,5.619668036,6,3,62.47674676
58,33.2354109,1543.756414,90.76930049,18.431379,0,0,40.58152542,-105.0836359,150746.5931,521.3344295,7.698585307,6,3,47.92042617
59,33.98295808,1340.476704,164.5099434,20.29607443,0,0,40.58152529,-105.0838102,150805.2681,536.0569389,-0.297489031,7,3,33.19791681
60,34.63527758,1358.50293,175.5,20.392164,0,0,40.5815231,-105.0839863,150949.3606,550.9365255,2.692712245,7,3,18.31833025
61,35.26725774,1358.781351,128.817126,16.862751,0,0,40.58152192,-105.0841668,151021.9115,566.1755256,1.677438736,7,3,3.079330118
62,35.54122785,1388.276102,100.1672532,16.078437,0,0,40.58152167,-105.0843502,151024.429,581.668184,2.478076891,7,3,304.4977829
63,35.78708603,1391.798204,86,15.294123,0,0,40.58152228,-105.0845352,150997.025,597.2908899,3.551688703,7,3,288.8750769
64,35.99476615,1394.486966,49.82251892,9.411768,0,0,40.58152354,-105.0847235,150994.5799,613.1952676,3.380453227,7,3,272.9706993
65,35.84130481,1518.57768,43.25776142,9.411768,0,0,40.58152463,-105.0849121,151024.2088,629.1223164,4.306877836,7,3,257.0436504
